song,artist,language,mood,energy
Samanthiye,T M Jayaratne,Sinhala,calm,low
Sitha Parana,T M Jayaratne,Sinhala,sad,low
Me Jeevanaye,T M Jayaratne,Sinhala,thoughtful,low
Nisala Neth,T M Jayaratne,Sinhala,romantic,low
Piyumi,T M Jayaratne,Sinhala,calm,low
Sanda Tharu Mal,T M Jayaratne,Sinhala,romantic,low
Hade Upan Lande,T M Jayaratne,Sinhala,romantic,low
Hithata Horen,T M Jayaratne,Sinhala,sad,low
Mage Sanda Oba,T M Jayaratne,Sinhala,romantic,low
Oba Ha Ma,T M Jayaratne,Sinhala,calm,low
Api Ayemath,T M Jayaratne,Sinhala,sad,low
Adareta Kiyana Katha,Chandralekha Perera,Sinhala,romantic,medium
Hiru Hinahena,Sunil Edirisinghe,Sinhala,calm,low
Sanda Mithuriya,Kasun Kalhara,Sinhala,romantic,medium
Mal Mitak,Kasun Kalhara,Sinhala,sad,medium
